title,author,rating,details,num_reviews,num_ratings,publish_date,genres,description,image_url
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas," 4.18 avg rating — 1,693,263 ratings",/book/show/7896527-throne-of-glass,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1495278054i/7896527._SY75_.jpg
The Haunting of Hill House,Shirley Jackson," 3.82 avg rating — 317,421 ratings",/book/show/89717.The_Haunting_of_Hill_House,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327871336i/89717._SY75_.jpg
A Midsummer Night’s Dream,William Shakespeare," 3.95 avg rating — 548,516 ratings",/book/show/1622.A_Midsummer_Night_s_Dream,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327874534i/1622._SY75_.jpg
"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins," 4.49 avg rating — 224,356 ratings",/book/show/7938275-the-hunger-games-trilogy-boxset,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360094673i/7938275._SY75_.jpg
"Frostbite (Vampire Academy, #2)",Richelle Mead," 4.26 avg rating — 359,582 ratings",/book/show/2282133.Frostbite,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361098960i/2282133._SY75_.jpg
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie," 4.20 avg rating — 644,645 ratings",/book/show/853510.Murder_on_the_Orient_Express,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486131451i/853510._SY75_.jpg
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas," 4.65 avg rating — 2,227,366 ratings",/book/show/17927395-a-court-of-mist-and-fury,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546406996i/17927395._SY75_.jpg
Heart of Darkness,Joseph Conrad," 3.43 avg rating — 521,251 ratings",/book/show/4900.Heart_of_Darkness,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392799983i/4900._SX50_.jpg
Bridge to Terabithia,Katherine Paterson," 4.05 avg rating — 555,884 ratings",/book/show/40940121-bridge-to-terabithia,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532478367i/40940121._SY75_.jpg
Tess of the D’Urbervilles,Thomas Hardy," 3.83 avg rating — 288,198 ratings",/book/show/32261.Tess_of_the_D_Urbervilles,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1633063778i/32261._SY75_.jpg
The Prophet,Kahlil Gibran," 4.23 avg rating — 305,008 ratings",/book/show/2547.The_Prophet,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355046521i/2547._SY75_.jpg
"Blood Promise (Vampire Academy, #4)",Richelle Mead," 4.30 avg rating — 316,660 ratings",/book/show/5996153-blood-promise,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442530605i/5996153._SY75_.jpg
The Call of the Wild,Jack London," 3.91 avg rating — 439,090 ratings",/book/show/1852.The_Call_of_the_Wild,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452291694i/1852._SY75_.jpg
"The Good Earth (House of Earth, #1)",Pearl S. Buck," 4.00 avg rating — 252,214 ratings",/book/show/1078.The_Good_Earth,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312497600i/1078._SY75_.jpg
The Night Circus,Erin Morgenstern," 4.01 avg rating — 1,002,649 ratings",/book/show/9361589-the-night-circus,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387124618i/9361589._SY75_.jpg
The Joy Luck Club,Amy Tan," 3.97 avg rating — 689,538 ratings",/book/show/7763.The_Joy_Luck_Club,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1304978653i/7763._SY75_.jpg
"The Selection (The Selection, #1)",Kiera Cass," 4.08 avg rating — 1,603,098 ratings",/book/show/10507293-the-selection,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1322103400i/10507293._SY75_.jpg
Alice in Wonderland,Jane Carruth," 4.03 avg rating — 391,699 ratings",/book/show/13023.Alice_in_Wonderland,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391458382i/13023._SX50_.jpg
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris," 4.25 avg rating — 556,649 ratings",/book/show/23807.The_Silence_of_the_Lambs,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1647930822i/23807._SY75_.jpg
The Phantom Tollbooth,Norton Juster," 4.20 avg rating — 291,492 ratings",/book/show/378.The_Phantom_Tollbooth,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558858485i/378._SX50_.jpg
"Oh, the Places You’ll Go!",Dr. Seuss," 4.37 avg rating — 414,672 ratings",/book/show/191139.Oh_the_Places_You_ll_Go_,,,,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630510695i/191139._SX50_.jpg
